Source,Destination IP,Volume,Destination Domain,Destination Latitude,Destination Longitude
Nestcam,35.232.242.251,129640854,251.242.232.35.bc.googleusercontent.com,41.23295975,-95.87735748
Google onHub,172.217.7.202,12629032,iad30s10-in-f10.1e100.net,38.98371887,-77.38275909
Samsung Smartthings hub2,3.12.29.221,18162078,ec2-3-12-29-221.us-east-2.compute.amazonaws.com,39.99557877,-82.99945831
Motog Phone,172.217.9.194,134385,iad30s14-in-f2.1e100.net,38.98371887,-77.38275909
Desktop (server),152.1.224.188,201105,bp01f.unity.ncsu.edu,35.73759079,-78.72119141
Desktop (server),152.1.224.105,203905,uni204f.unity.ncsu.edu,35.73759079,-78.72119141
Desktop (server),152.1.224.101,192323,uni200f.unity.ncsu.edu,35.73759079,-78.72119141
Desktop (server),152.1.224.104,1845,uni203f.unity.ncsu.edu,35.73759079,-78.72119141
Desktop (server),152.1.224.106,1915,uni205f.unity.ncsu.edu,35.73759079,-78.72119141
Desktop (server),152.1.224.107,1845,uni206f.unity.ncsu.edu,35.73759079,-78.72119141
Motog Phone,34.231.95.236,83580,ec2-34-231-95-236.compute-1.amazonaws.com,39.04370117,-77.47419739
Echo plus 2nd gen,52.216.237.91,540,s3-1-w.amazonaws.com,39.04370117,-77.47419739
Echo plus 2nd gen,54.85.185.88,66030,ec2-54-85-185-88.compute-1.amazonaws.com,39.04370117,-77.47419739
Echo plus 2nd gen,52.216.113.163,1079,s3-1-w.amazonaws.com,39.04370117,-77.47419739
Echo plus 2nd gen,3.215.127.169,88062,ec2-3-215-127-169.compute-1.amazonaws.com,39.04370117,-77.47419739
Smartwifiplug,52.38.63.250,1581025,ec2-52-38-63-250.us-west-2.compute.amazonaws.com,45.73722839,-119.8114319
Google onHub,52.38.63.250,1724127,ec2-52-38-63-250.us-west-2.compute.amazonaws.com,45.73722839,-119.8114319
Desktop (server),152.1.15.28,170190,time101.unity.ncsu.edu,35.73759079,-78.72119141
Google onHub,172.217.15.106,16940077,iad30s21-in-f10.1e100.net,38.98371887,-77.38275909
Desktop (server),152.1.15.27,939510,time100.unity.ncsu.edu,35.73759079,-78.72119141
